City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ginir,7.13,40.7,53.64,61,0,4.09,ET,1604364167
biak,-0.91,122.88,82.6,56,100,2.21,ID,1604363827
wewak,-3.55,143.63,86.74,64,95,1.45,PG,1604364167
puerto madero,14.72,-92.42,82.4,88,75,2.24,MX,1604364167
ust-koksa,50.27,85.61,28.49,86,100,1.59,RU,1604364168
mar del plata,-38.0,-57.56,60.01,87,0,9.17,AR,1604364037
provideniya,64.38,-173.3,30.2,68,90,6.71,RU,1604364006
codrington,-38.27,141.97,76.03,65,100,17.4,AU,1604364168
butaritari,3.07,172.79,81.32,74,0,15.93,KI,1604364003
staroleushkovskaya,45.99,39.76,55.0,75,98,9.19,RU,1604364169
coquimbo,-29.95,-71.34,55.4,82,11,2.24,CL,1604364169
kaitangata,-46.28,169.85,61.0,63,0,4.0,NZ,1604364169
castro,-24.79,-50.01,52.09,94,0,8.75,BR,1604363943
jamestown,42.1,-79.24,37.0,59,90,16.11,US,1604364170
lompoc,34.64,-120.46,70.0,72,1,11.41,US,1604364170
broome,42.25,-75.83,36.0,86,90,11.41,US,1604363822
rikitea,-23.12,-134.97,72.05,81,9,17.76,PF,1604364005
barrow,71.29,-156.79,28.4,63,20,16.11,US,1604364171
caravelas,-17.71,-39.25,72.27,75,100,13.15,BR,1604363824
abrau-dyurso,44.69,37.59,51.8,93,100,6.71,RU,1604364171
bethel,41.37,-73.41,37.0,47,1,11.41,US,1604364172
port alfred,-33.59,26.89,65.93,86,4,18.84,ZA,1604363774
souillac,-20.52,57.52,71.6,73,75,10.29,MU,1604364026
tuktoyaktuk,69.45,-133.04,3.2,84,75,8.05,CA,1604364052
porteirinha,-15.74,-43.03,66.47,83,77,9.1,BR,1604364172
hithadhoo,-0.6,73.08,83.07,72,100,8.12,MV,1604364173
tautira,-17.73,-149.15,86.0,62,20,23.04,PF,1604363806
kavaratti,10.57,72.64,82.04,69,0,4.61,IN,1604363790
vao,-22.67,167.48,75.78,89,100,8.21,NC,1604364173
vardo,70.37,31.11,44.82,81,100,29.73,NO,1604363783
atuona,-9.8,-139.03,77.94,72,1,17.49,PF,1604364174
ushuaia,-54.8,-68.3,50.0,81,75,12.75,AR,1604364047
sola,-13.88,167.55,81.14,75,100,7.16,VU,1604364174
emerald,-23.53,148.17,80.6,54,90,11.41,AU,1604364174
